run_name,learning_rate,entropy_coef,waypoint_reward,active_wait_penalty,total_steps,training_layout_count,mean_completed_tasks,std_completed_tasks,completed_tasks_by_seed,mean_blocked_moves,train_dir,eval_dir
tune_base,2.5e-4,0.035,0.03,-0.02,300000,4,1535.6,41.48059787418691,1580;1563;1539;1459;1537,5451.2,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base,artifacts\agv_runs\tuning_batch_20260527_122936\tune_base\evals\eval_tune_base_5seeds_gif_20260527_123758
tune_lr_low,1.0e-4,0.035,0.03,-0.02,300000,4,1452.0,21.335416564951338,1420;1435;1477;1459;1469,5787.6,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_low\evals\eval_tune_lr_low_5seeds_gif_20260527_133528
tune_lr_high,5.0e-4,0.035,0.03,-0.02,300000,4,1361.6,107.7749507074812,1414;1147;1408;1405;1434,7071.2,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_high,artifacts\agv_runs\tuning_batch_20260527_122936\tune_lr_high\evals\eval_tune_lr_high_5seeds_gif_20260527_143647
tune_entropy_low,2.5e-4,0.015,0.03,-0.02,300000,4,521.8,326.81946086486346,321;822;164;303;999,61286.8,artifacts\agv_runs\tuning_batch_20260527_122936\tune_entropy_low,artifacts\agv_runs\tuning_batch_20260527_122936\tune_entropy_low\evals\eval_tune_entropy_low_5seeds_gif_20260527_153619
tune_entropy_high,2.5e-4,0.060,0.03,-0.02,300000,4,1532.2,9.21737489744233,1534;1522;1522;1537;1546,3978.2,artifacts\agv_runs\tuning_batch_20260527_122936\tune_entropy_high,artifacts\agv_runs\tuning_batch_20260527_122936\tune_entropy_high\evals\eval_tune_entropy_high_5seeds_gif_20260527_170921
tune_reward_mild,2.5e-4,0.035,0.02,-0.01,300000,4,1262.2,29.83554926593442,1276;1291;1245;1212;1287,2963.2,artifacts\agv_runs\tuning_batch_20260527_122936\tune_reward_mild,artifacts\agv_runs\tuning_batch_20260527_122936\tune_reward_mild\evals\eval_tune_reward_mild_5seeds_gif_20260527_181606
tune_reward_strong,2.5e-4,0.035,0.05,-0.03,300000,4,1484.0,33.370645783382734,1430;1485;1497;1475;1533,4399.0,artifacts\agv_runs\tuning_batch_20260527_122936\tune_reward_strong,artifacts\agv_runs\tuning_batch_20260527_122936\tune_reward_strong\evals\eval_tune_reward_strong_5seeds_gif_20260527_192017
tune_steps_short,2.5e-4,0.035,0.03,-0.02,150000,4,1386.0,72.29384482789665,1339;1270;1471;1435;1415,5980.2,artifacts\agv_runs\tuning_batch_20260527_122936\tune_steps_short,artifacts\agv_runs\tuning_batch_20260527_122936\tune_steps_short\evals\eval_tune_steps_short_5seeds_gif_20260527_201952
tune_map_1layout,2.5e-4,0.035,0.03,-0.02,300000,1,865.8,479.2975693658377,1446;532;1357;803;191,34880.0,artifacts\agv_runs\tuning_batch_20260527_122936\tune_map_1layout,artifacts\agv_runs\tuning_batch_20260527_122936\tune_map_1layout\evals\eval_tune_map_1layout_5seeds_gif_20260527_213752
tune_map_6layouts,2.5e-4,0.035,0.03,-0.02,300000,6,1173.6,236.01321996871278,936;1109;1119;1077;1627,16737.0,artifacts\agv_runs\tuning_batch_20260527_122936\tune_map_6layouts,artifacts\agv_runs\tuning_batch_20260527_122936\tune_map_6layouts\evals\eval_tune_map_6layouts_5seeds_gif_20260527_230142
